sektori,zaeti,swobodni,koef,year,month
administratiwni,98727,510,0.5,2008,1
administratiwni,97507,392,0.4,2008,2
administratiwni,100398,508,0.5,2008,3
administratiwni,99114,171,0.2,2008,4
administratiwni,119327,129,0.1,2009,1
administratiwni,116728,88,0.1,2009,2
administratiwni,109893,70,0.1,2009,3
administratiwni,111140,81,0.1,2009,4
administratiwni,107597,317,0.3,2010,1
administratiwni,105280,93,0.1,2010,2
administratiwni,105917,445,0.4,2010,3
administratiwni,115405,494,0.4,2010,4
administratiwni,118158,221,0.2,2011,1
administratiwni,118346,194,0.2,2011,2
administratiwni,118610,232,0.2,2011,3
administratiwni,118647,186,0.2,2011,4
administratiwni,119756,138,0.1,2012,1
administratiwni,121044,115,0.1,2012,2
administratiwni,127343,377,0.3,2012,3
administratiwni,127421,84,0.1,2012,4
administratiwni,132933,147,0.1,2013,1
administratiwni,132386,80,0.1,2013,2
administratiwni,129304,86,0.1,2013,3
administratiwni,121029,130,0.1,2013,4
administratiwni,112653,194,0.2,2014,1
administratiwni,117305,179,0.2,2014,2
administratiwni,111896,224,0.2,2014,3
administratiwni,111466,259,0.2,2014,4
dobiwna,27861,431,1.5,2008,1
dobiwna,27915,433,1.5,2008,2
dobiwna,27953,274,1,2008,3
dobiwna,27008,216,0.8,2008,4
dobiwna,26735,160,0.6,2009,1
dobiwna,26079,68,0.3,2009,2
dobiwna,25739,32,0.1,2009,3
dobiwna,25414,113,0.4,2009,4
dobiwna,25700,231,0.9,2010,1
dobiwna,25481,215,0.8,2010,2
dobiwna,25409,167,0.7,2010,3
dobiwna,25022,224,0.9,2010,4
dobiwna,25057,216,0.9,2011,1
dobiwna,25159,244,1,2011,2
dobiwna,25380,288,1.1,2011,3
dobiwna,24373,344,1.4,2011,4
dobiwna,24756,332,1.3,2012,1
dobiwna,24934,370,1.5,2012,2
dobiwna,24653,402,1.6,2012,3
dobiwna,24161,418,1.7,2012,4
dobiwna,24383,355,1.4,2013,1
dobiwna,24667,438,1.7,2013,2
dobiwna,24199,494,2,2013,3
dobiwna,23434,540,2.3,2013,4
dobiwna,23623,518,2.1,2014,1
dobiwna,24113,372,1.5,2014,2
dobiwna,24012,315,1.3,2014,3
dobiwna,23443,532,2.2,2014,4
drugi,30176,123,0.4,2008,1
drugi,32472,177,0.5,2008,2
drugi,31319,156,0.5,2008,3
drugi,31481,204,0.6,2008,4
drugi,32869,245,0.7,2009,1
drugi,34119,206,0.6,2009,2
drugi,32812,195,0.6,2009,3
drugi,33740,243,0.7,2009,4
drugi,37571,230,0.6,2010,1
drugi,39219,157,0.4,2010,2
drugi,36131,222,0.6,2010,3
drugi,34741,367,1,2010,4
drugi,36236,299,0.8,2011,1
drugi,36393,424,1.2,2011,2
drugi,35927,395,1.1,2011,3
drugi,35257,577,1.6,2011,4
drugi,36518,505,1.4,2012,1
drugi,37265,520,1.4,2012,2
drugi,36723,621,1.7,2012,3
drugi,36234,603,1.6,2012,4
drugi,35040,135,0.4,2013,1
drugi,35343,148,0.4,2013,2
drugi,34883,318,0.9,2013,3
drugi,33750,258,0.8,2013,4
drugi,33411,213,0.6,2014,1
drugi,35189,232,0.7,2014,2
drugi,33368,202,0.6,2014,3
drugi,31687,288,0.9,2014,4
dyrvawnouprawlenie,130748,5139,3.8,2008,1
dyrvawnouprawlenie,130894,4870,3.6,2008,2
dyrvawnouprawlenie,130688,4320,3.2,2008,3
dyrvawnouprawlenie,131878,4187,3.1,2008,4
dyrvawnouprawlenie,129443,4050,3,2009,1
dyrvawnouprawlenie,129824,3932,2.9,2009,2
dyrvawnouprawlenie,127352,3949,3,2009,3
dyrvawnouprawlenie,123126,3680,2.9,2009,4
dyrvawnouprawlenie,119248,3453,2.8,2010,1
dyrvawnouprawlenie,118473,3524,2.9,2010,2
dyrvawnouprawlenie,115125,3826,3.2,2010,3
dyrvawnouprawlenie,115126,3935,3.3,2010,4
dyrvawnouprawlenie,112045,3644,3.1,2011,1
dyrvawnouprawlenie,113487,3940,3.4,2011,2
dyrvawnouprawlenie,114288,3883,3.3,2011,3
dyrvawnouprawlenie,113317,4360,3.7,2011,4
dyrvawnouprawlenie,113490,4002,3.4,2012,1
dyrvawnouprawlenie,113695,4314,3.7,2012,2
dyrvawnouprawlenie,113571,3336,2.9,2012,3
dyrvawnouprawlenie,113418,3369,2.9,2012,4
dyrvawnouprawlenie,113380,2968,2.6,2013,1
dyrvawnouprawlenie,114046,2765,2.4,2013,2
dyrvawnouprawlenie,113739,2411,2.1,2013,3
dyrvawnouprawlenie,113668,2429,2.1,2013,4
dyrvawnouprawlenie,113324,2588,2.2,2014,1
dyrvawnouprawlenie,114793,2506,2.1,2014,2
dyrvawnouprawlenie,112548,2251,2,2014,3
dyrvawnouprawlenie,111512,2517,2.2,2014,4
energiq,34279,282,0.8,2008,1
energiq,33812,255,0.7,2008,2
energiq,32842,261,0.8,2008,3
energiq,32920,300,0.9,2008,4
energiq,33561,395,1.2,2009,1
energiq,33352,373,1.1,2009,2
energiq,33286,345,1,2009,3
energiq,33072,441,1.3,2009,4
energiq,32173,380,1.2,2010,1
energiq,31562,432,1.4,2010,2
energiq,31513,440,1.4,2010,3
energiq,31125,397,1.3,2010,4
energiq,31101,320,1,2011,1
energiq,31254,210,0.7,2011,2
energiq,31015,343,1.1,2011,3
energiq,30564,299,1,2011,4
energiq,31512,376,1.2,2012,1
energiq,31590,383,1.2,2012,2
energiq,31508,329,1,2012,3
energiq,31275,372,1.2,2012,4
energiq,30342,271,0.9,2013,1
energiq,30497,169,0.6,2013,2
energiq,30246,146,0.5,2013,3
energiq,30125,46,0.2,2013,4
energiq,30595,166,0.5,2014,1
energiq,30882,182,0.6,2014,2
energiq,30663,193,0.6,2014,3
energiq,30333,247,0.8,2014,4
finansi,47404,605,1.3,2008,1
finansi,49764,679,1.3,2008,2
finansi,52313,704,1.3,2008,3
finansi,52778,752,1.4,2008,4
finansi,53760,673,1.2,2009,1
finansi,54543,594,1.1,2009,2
finansi,53746,559,1,2009,3
finansi,54804,399,0.7,2009,4
finansi,53130,355,0.7,2010,1
finansi,53859,381,0.7,2010,2
finansi,53279,428,0.8,2010,3
finansi,53949,360,0.7,2010,4
finansi,56031,378,0.7,2011,1
finansi,56296,160,0.3,2011,2
finansi,55456,205,0.4,2011,3
finansi,55441,230,0.4,2011,4
finansi,55221,270,0.5,2012,1
finansi,55452,229,0.4,2012,2
finansi,55626,274,0.5,2012,3
finansi,54462,200,0.4,2012,4
finansi,52729,210,0.4,2013,1
finansi,53289,237,0.4,2013,2
finansi,52865,207,0.4,2013,3
finansi,52550,242,0.5,2013,4
finansi,53180,463,0.9,2014,1
finansi,52852,486,0.9,2014,2
finansi,52853,477,0.9,2014,3
finansi,52967,378,0.7,2014,4
hoteli,97181,1090,1.1,2008,1
hoteli,126306,671,0.5,2008,2
hoteli,119447,833,0.7,2008,3
hoteli,102594,510,0.5,2008,4
hoteli,106823,532,0.5,2009,1
hoteli,143476,377,0.3,2009,2
hoteli,121835,414,0.3,2009,3
hoteli,110761,326,0.3,2009,4
hoteli,110903,408,0.4,2010,1
hoteli,144532,415,0.3,2010,2
hoteli,126260,304,0.2,2010,3
hoteli,108828,358,0.3,2010,4
hoteli,106713,245,0.2,2011,1
hoteli,146604,416,0.3,2011,2
hoteli,130421,396,0.3,2011,3
hoteli,110237,212,0.2,2011,4
hoteli,108274,3659,3.3,2012,1
hoteli,154254,709,0.5,2012,2
hoteli,127025,395,0.3,2012,3
hoteli,103771,241,0.2,2012,4
hoteli,94147,1157,1.2,2013,1
hoteli,145223,622,0.4,2013,2
hoteli,115976,716,0.6,2013,3
hoteli,91948,380,0.4,2013,4
hoteli,91536,4512,4.7,2014,1
hoteli,145525,1679,1.1,2014,2
hoteli,116161,368,0.3,2014,3
hoteli,91894,490,0.5,2014,4
imoti,18317,149,0.8,2008,1
imoti,18124,132,0.7,2008,2
imoti,18258,173,0.9,2008,3
imoti,17971,112,0.6,2008,4
imoti,26355,153,0.6,2009,1
imoti,26846,168,0.6,2009,2
imoti,25170,63,0.2,2009,3
imoti,24190,69,0.3,2009,4
imoti,23651,78,0.3,2010,1
imoti,26253,67,0.3,2010,2
imoti,25315,106,0.4,2010,3
imoti,24726,135,0.5,2010,4
imoti,25232,284,1.1,2011,1
imoti,26458,464,1.7,2011,2
imoti,25135,338,1.3,2011,3
imoti,24076,306,1.3,2011,4
imoti,24166,85,0.4,2012,1
imoti,24576,73,0.3,2012,2
imoti,23644,97,0.4,2012,3
imoti,23127,98,0.4,2012,4
imoti,22850,333,1.4,2013,1
imoti,23187,167,0.7,2013,2
imoti,22087,202,0.9,2013,3
imoti,22177,146,0.7,2013,4
imoti,22430,88,0.4,2014,1
imoti,22966,42,0.2,2014,2
imoti,22285,110,0.5,2014,3
imoti,21400,137,0.6,2014,4
informaciq,54482,268,0.5,2008,1
informaciq,56532,265,0.5,2008,2
informaciq,53524,333,0.6,2008,3
informaciq,53176,212,0.4,2008,4
informaciq,58602,89,0.2,2009,1
informaciq,57880,75,0.1,2009,2
informaciq,57527,88,0.2,2009,3
informaciq,59688,136,0.2,2009,4
informaciq,61919,151,0.2,2010,1
informaciq,62689,51,0.1,2010,2
informaciq,62052,111,0.2,2010,3
informaciq,64581,156,0.2,2010,4
informaciq,63525,174,0.3,2011,1
informaciq,64775,311,0.5,2011,2
informaciq,64849,115,0.2,2011,3
informaciq,64879,137,0.2,2011,4
informaciq,67493,169,0.2,2012,1
informaciq,67558,166,0.2,2012,2
informaciq,67314,230,0.3,2012,3
informaciq,67136,182,0.3,2012,4
informaciq,64480,187,0.3,2013,1
informaciq,65147,220,0.3,2013,2
informaciq,64933,165,0.3,2013,3
informaciq,65523,185,0.3,2013,4
informaciq,67173,147,0.2,2014,1
informaciq,66862,156,0.2,2014,2
informaciq,66848,142,0.2,2014,3
informaciq,67222,148,0.2,2014,4
kultura,28473,215,0.7,2008,1
kultura,28907,335,1.1,2008,2
kultura,28311,272,1,2008,3
kultura,28394,218,0.8,2008,4
kultura,32212,368,1.1,2009,1
kultura,33355,300,0.9,2009,2
kultura,31194,270,0.9,2009,3
kultura,32465,236,0.7,2009,4
kultura,34011,292,0.9,2010,1
kultura,38223,256,0.7,2010,2
kultura,32370,269,0.8,2010,3
kultura,32321,252,0.8,2010,4
kultura,32382,212,0.7,2011,1
kultura,33054,283,0.8,2011,2
kultura,31786,183,0.6,2011,3
kultura,30214,227,0.7,2011,4
kultura,31689,196,0.6,2012,1
kultura,35103,223,0.6,2012,2
kultura,31475,198,0.6,2012,3
kultura,30903,175,0.6,2012,4
kultura,31899,148,0.5,2013,1
kultura,36420,177,0.5,2013,2
kultura,34279,184,0.5,2013,3
kultura,31664,164,0.5,2013,4
kultura,32121,174,0.5,2014,1
kultura,38399,213,0.6,2014,2
kultura,33093,149,0.4,2014,3
kultura,30683,183,0.6,2014,4
nauka,67286,505,0.7,2008,1
nauka,68503,468,0.7,2008,2
nauka,70185,350,0.5,2008,3
nauka,70683,308,0.4,2008,4
nauka,70853,343,0.5,2009,1
nauka,70309,254,0.4,2009,2
nauka,71186,353,0.5,2009,3
nauka,71764,343,0.5,2009,4
nauka,71522,466,0.6,2010,1
nauka,72838,416,0.6,2010,2
nauka,72344,364,0.5,2010,3
nauka,69925,418,0.6,2010,4
nauka,70988,340,0.5,2011,1
nauka,69812,402,0.6,2011,2
nauka,69065,377,0.5,2011,3
nauka,68138,351,0.5,2011,4
nauka,70816,348,0.5,2012,1
nauka,71068,321,0.4,2012,2
nauka,70552,338,0.5,2012,3
nauka,69842,301,0.4,2012,4
nauka,68685,431,0.6,2013,1
nauka,68799,533,0.8,2013,2
nauka,68608,342,0.5,2013,3
nauka,68847,281,0.4,2013,4
nauka,71194,384,0.5,2014,1
nauka,71512,310,0.4,2014,2
nauka,71446,359,0.5,2014,3
nauka,70983,450,0.6,2014,4
obrazowanie,184044,1004,0.5,2008,1
obrazowanie,179651,1594,0.9,2008,2
obrazowanie,172032,1227,0.7,2008,3
obrazowanie,172930,1110,0.6,2008,4
obrazowanie,167752,1050,0.6,2009,1
obrazowanie,164698,1328,0.8,2009,2
obrazowanie,164605,1336,0.8,2009,3
obrazowanie,164844,1146,0.7,2009,4
obrazowanie,166476,989,0.6,2010,1
obrazowanie,164860,1135,0.7,2010,2
obrazowanie,164535,1191,0.7,2010,3
obrazowanie,165161,954,0.6,2010,4
obrazowanie,164682,928,0.6,2011,1
obrazowanie,161780,1174,0.7,2011,2
obrazowanie,162945,883,0.5,2011,3
obrazowanie,163830,752,0.5,2011,4
obrazowanie,166367,912,0.5,2012,1
obrazowanie,161823,1151,0.7,2012,2
obrazowanie,164043,1028,0.6,2012,3
obrazowanie,165299,578,0.3,2012,4
obrazowanie,166446,711,0.4,2013,1
obrazowanie,163110,1021,0.6,2013,2
obrazowanie,165376,1002,0.6,2013,3
obrazowanie,166521,831,0.5,2013,4
obrazowanie,167262,679,0.4,2014,1
obrazowanie,163176,918,0.6,2014,2
obrazowanie,166773,684,0.4,2014,3
obrazowanie,167443,662,0.4,2014,4
obshto,2390802,25106,1,2008,1
obshto,2443784,24446,1,2008,2
obshto,2435276,22869,0.9,2008,3
obshto,2376218,18781,0.8,2008,4
obshto,2410941,19105,0.8,2009,1
obshto,2452955,17565,0.7,2009,2
obshto,2378605,17312,0.7,2009,3
obshto,2330417,16649,0.7,2009,4
obshto,2292022,17374,0.8,2010,1
obshto,2338281,16797,0.7,2010,2
obshto,2298414,16306,0.7,2010,3
obshto,2263415,18217,0.8,2010,4
obshto,2278585,16686,0.7,2011,1
obshto,2328118,17509,0.7,2011,2
obshto,2299128,16110,0.7,2011,3
obshto,2218248,16259,0.7,2011,4
obshto,2228810,20379,0.9,2012,1
obshto,2301158,16723,0.7,2012,2
obshto,2265900,16431,0.7,2012,3
obshto,2205354,14033,0.6,2012,4
obshto,2181160,15202,0.7,2013,1
obshto,2255515,14161,0.6,2013,2
obshto,2214069,13844,0.6,2013,3
obshto,2157531,14076,0.6,2013,4
obshto,2159779,18694,0.9,2014,1
obshto,2242787,15471,0.7,2014,2
obshto,2194076,14383,0.7,2014,3
obshto,2146983,15496,0.7,2014,4
prerabotwashta,602458,6184,1,2008,1
prerabotwashta,603612,5821,1,2008,2
prerabotwashta,592467,5364,0.9,2008,3
prerabotwashta,575663,3704,0.6,2008,4
prerabotwashta,549892,3128,0.6,2009,1
prerabotwashta,531144,3358,0.6,2009,2
prerabotwashta,519988,3077,0.6,2009,3
prerabotwashta,515909,2934,0.6,2009,4
prerabotwashta,503740,3774,0.7,2010,1
prerabotwashta,502528,4030,0.8,2010,2
prerabotwashta,505255,2381,0.5,2010,3
prerabotwashta,499672,3101,0.6,2010,4
prerabotwashta,507543,2776,0.5,2011,1
prerabotwashta,507380,2099,0.4,2011,2
prerabotwashta,504665,2424,0.5,2011,3
prerabotwashta,488566,2823,0.6,2011,4
prerabotwashta,490499,2934,0.6,2012,1
prerabotwashta,493286,2505,0.5,2012,2
prerabotwashta,491632,3338,0.7,2012,3
prerabotwashta,482627,1944,0.4,2012,4
prerabotwashta,477364,2478,0.5,2013,1
prerabotwashta,480796,2727,0.6,2013,2
prerabotwashta,477284,2757,0.6,2013,3
prerabotwashta,472209,2707,0.6,2013,4
prerabotwashta,475173,2423,0.5,2014,1
prerabotwashta,481656,2440,0.5,2014,2
prerabotwashta,482001,2854,0.6,2014,3
prerabotwashta,477910,2796,0.6,2014,4
selsko,58124,299,0.5,2008,1
selsko,62754,205,0.3,2008,2
selsko,63097,203,0.3,2008,3
selsko,55101,198,0.4,2008,4
selsko,65325,703,1.1,2009,1
selsko,73945,157,0.2,2009,2
selsko,71387,236,0.3,2009,3
selsko,60879,317,0.5,2009,4
selsko,62429,374,0.6,2010,1
selsko,71378,301,0.4,2010,2
selsko,71649,277,0.4,2010,3
selsko,62123,1588,2.5,2010,4
selsko,69129,502,0.7,2011,1
selsko,72885,597,0.8,2011,2
selsko,75234,196,0.3,2011,3
selsko,62964,168,0.3,2011,4
selsko,66165,760,1.1,2012,1
selsko,74981,299,0.4,2012,2
selsko,72972,245,0.3,2012,3
selsko,64334,566,0.9,2012,4
selsko,65520,869,1.3,2013,1
selsko,72417,291,0.4,2013,2
selsko,71275,290,0.4,2013,3
selsko,64373,586,0.9,2013,4
selsko,68708,601,0.9,2014,1
selsko,73879,245,0.3,2014,2
selsko,72697,215,0.3,2014,3
selsko,65485,300,0.5,2014,4
stroitelstwo,194211,949,0.5,2008,1
stroitelstwo,202947,845,0.4,2008,2
stroitelstwo,207939,673,0.3,2008,3
stroitelstwo,193161,385,0.2,2008,4
stroitelstwo,231254,687,0.3,2009,1
stroitelstwo,223019,429,0.2,2009,2
stroitelstwo,210771,447,0.2,2009,3
stroitelstwo,198217,480,0.2,2009,4
stroitelstwo,176873,150,0.1,2010,1
stroitelstwo,171644,122,0.1,2010,2
stroitelstwo,166751,126,0.1,2010,3
stroitelstwo,152603,139,0.1,2010,4
stroitelstwo,153359,241,0.2,2011,1
stroitelstwo,152333,243,0.2,2011,2
stroitelstwo,150506,105,0.1,2011,3
stroitelstwo,139326,88,0.1,2011,4
stroitelstwo,138104,323,0.2,2012,1
stroitelstwo,140614,173,0.1,2012,2
stroitelstwo,138886,194,0.1,2012,3
stroitelstwo,132665,307,0.2,2012,4
stroitelstwo,125570,299,0.2,2013,1
stroitelstwo,129259,108,0.1,2013,2
stroitelstwo,128449,105,0.1,2013,3
stroitelstwo,124663,72,0.1,2013,4
stroitelstwo,124344,387,0.3,2014,1
stroitelstwo,125694,325,0.3,2014,2
stroitelstwo,125904,349,0.3,2014,3
stroitelstwo,119917,476,0.4,2014,4
transport,139666,1858,1.3,2008,1
transport,140036,2153,1.5,2008,2
transport,140686,2050,1.4,2008,3
transport,136796,2039,1.5,2008,4
transport,143666,1585,1.1,2009,1
transport,144920,1699,1.2,2009,2
transport,143239,1739,1.2,2009,3
transport,141676,1975,1.4,2009,4
transport,138836,1899,1.3,2010,1
transport,140297,1495,1.1,2010,2
transport,139497,1394,1,2010,3
transport,138071,1328,1,2010,4
transport,139601,978,0.7,2011,1
transport,142128,1251,0.9,2011,2
transport,140485,1346,0.9,2011,3
transport,135176,1421,1,2011,4
transport,135957,1139,0.8,2012,1
transport,137845,1270,0.9,2012,2
transport,137480,1017,0.7,2012,3
transport,135803,729,0.5,2012,4
transport,132283,675,0.5,2013,1
transport,133703,714,0.5,2013,2
transport,133368,676,0.5,2013,3
transport,130603,932,0.7,2013,4
transport,130997,844,0.6,2014,1
transport,132870,816,0.6,2014,2
transport,129588,1126,0.9,2014,3
transport,127206,1261,1,2014,4
tyrgowiq,413856,2053,0.5,2008,1
tyrgowiq,421238,1773,0.4,2008,2
tyrgowiq,431840,1380,0.3,2008,3
tyrgowiq,431865,895,0.2,2008,4
tyrgowiq,392605,772,0.2,2009,1
tyrgowiq,418317,741,0.2,2009,2
tyrgowiq,413130,775,0.2,2009,3
tyrgowiq,403766,556,0.1,2009,4
tyrgowiq,402465,564,0.1,2010,1
tyrgowiq,403033,500,0.1,2010,2
tyrgowiq,400242,668,0.2,2010,3
tyrgowiq,403441,704,0.2,2010,4
tyrgowiq,396324,1883,0.5,2011,1
tyrgowiq,398204,1412,0.4,2011,2
tyrgowiq,391034,1015,0.3,2011,3
tyrgowiq,382067,432,0.1,2011,4
tyrgowiq,376734,677,0.2,2012,1
tyrgowiq,382928,376,0.1,2012,2
tyrgowiq,378750,673,0.2,2012,3
tyrgowiq,371032,335,0.1,2012,4
tyrgowiq,371444,610,0.2,2013,1
tyrgowiq,372883,608,0.2,2013,2
tyrgowiq,373686,623,0.2,2013,3
tyrgowiq,372468,676,0.2,2013,4
tyrgowiq,371285,857,0.2,2014,1
tyrgowiq,373528,971,0.3,2014,2
tyrgowiq,371141,916,0.2,2014,3
tyrgowiq,375238,761,0.2,2014,4
woda,34682,337,1,2008,1
woda,34097,272,0.8,2008,2
woda,34185,215,0.6,2008,3
woda,33517,212,0.6,2008,4
woda,37390,261,0.7,2009,1
woda,37828,185,0.5,2009,2
woda,33455,150,0.4,2009,3
woda,32622,180,0.5,2009,4
woda,32752,180,0.5,2010,1
woda,33776,178,0.5,2010,2
woda,33763,162,0.5,2010,3
woda,35307,143,0.4,2010,4
woda,35972,143,0.4,2011,1
woda,36762,146,0.4,2011,2
woda,36520,90,0.2,2011,3
woda,35599,154,0.4,2011,4
woda,36435,134,0.4,2012,1
woda,36501,92,0.3,2012,2
woda,36380,89,0.2,2012,3
woda,35526,89,0.2,2012,4
woda,36186,127,0.3,2013,1
woda,36946,106,0.3,2013,2
woda,36514,118,0.3,2013,3
woda,36062,136,0.4,2013,4
woda,34743,100,0.3,2014,1
woda,34951,76,0.2,2014,2
woda,34579,83,0.2,2014,3
woda,34340,95,0.3,2014,4
zdraweopazwane,128827,3105,2.4,2008,1
zdraweopazwane,128713,3106,2.4,2008,2
zdraweopazwane,127792,3573,2.7,2008,3
zdraweopazwane,129188,3048,2.3,2008,4
zdraweopazwane,132517,3782,2.8,2009,1
zdraweopazwane,132573,3233,2.4,2009,2
zdraweopazwane,132290,3214,2.4,2009,3
zdraweopazwane,132340,2994,2.2,2009,4
zdraweopazwane,131026,3083,2.3,2010,1
zdraweopazwane,132356,3029,2.2,2010,2
zdraweopazwane,131007,3425,2.5,2010,3
zdraweopazwane,131288,3164,2.4,2010,4
zdraweopazwane,134507,2902,2.1,2011,1
zdraweopazwane,135008,3539,2.6,2011,2
zdraweopazwane,135807,3296,2.4,2011,3
zdraweopazwane,135577,3192,2.3,2011,4
zdraweopazwane,134858,3420,2.5,2012,1
zdraweopazwane,136641,3434,2.5,2012,2
zdraweopazwane,136323,3250,2.3,2012,3
zdraweopazwane,136318,3442,2.5,2012,4
zdraweopazwane,135479,3091,2.2,2013,1
zdraweopazwane,137397,3030,2.2,2013,2
zdraweopazwane,136998,3002,2.1,2013,3
zdraweopazwane,135917,3335,2.4,2013,4
zdraweopazwane,136027,3356,2.4,2014,1
zdraweopazwane,136635,3323,2.4,2014,2
zdraweopazwane,136220,3366,2.4,2014,3
zdraweopazwane,135854,3516,2.5,2014,4
